scenario,n_burn_in,n_post_burn_in,seed_1,seed_2,selection_threshold,n_selected_1,n_selected_2,n_shared,n_union,jaccard
2,1000,2500,205,32,0.5,13,13,11,15,0.7333333333333333
2,1000,2500,205,22,0.5,13,12,11,14,0.7857142857142857
2,1000,2500,56,32,0.5,14,13,13,14,0.9285714285714286
2,1000,2500,56,22,0.5,14,12,11,15,0.7333333333333333
2,1000,2500,32,22,0.5,13,12,11,14,0.7857142857142857
2,500,2500,81,100,0.5,12,12,11,13,0.8461538461538461
2,500,2500,81,43,0.5,12,12,11,13,0.8461538461538461
2,500,2500,81,34,0.5,12,13,11,14,0.7857142857142857
2,500,2500,81,11,0.5,12,12,11,13,0.8461538461538461
2,500,2500,81,23,0.5,12,10,10,12,0.8333333333333334
2,500,2500,81,205,0.5,12,14,11,15,0.7333333333333333
2,500,2500,81,56,0.5,12,14,12,14,0.8571428571428571
2,500,2500,81,32,0.5,12,12,12,12,1.0
2,500,2500,81,22,0.5,12,12,11,13,0.8461538461538461
2,500,2500,100,43,0.5,12,12,11,13,0.8461538461538461
2,500,2500,100,34,0.5,12,13,12,13,0.9230769230769231
2,500,2500,100,11,0.5,12,12,11,13,0.8461538461538461
2,500,2500,100,23,0.5,12,10,10,12,0.8333333333333334
2,500,2500,100,205,0.5,12,14,12,14,0.8571428571428571
2,500,2500,100,56,0.5,12,14,12,14,0.8571428571428571
2,500,2500,100,32,0.5,12,12,11,13,0.8461538461538461
2,500,2500,100,22,0.5,12,12,11,13,0.8461538461538461
2,500,2500,43,34,0.5,12,13,11,14,0.7857142857142857
2,500,2500,43,11,0.5,12,12,11,13,0.8461538461538461
2,500,2500,43,23,0.5,12,10,10,12,0.8333333333333334
2,500,2500,43,205,0.5,12,14,12,14,0.8571428571428571
2,500,2500,43,56,0.5,12,14,12,14,0.8571428571428571
2,500,2500,43,32,0.5,12,12,11,13,0.8461538461538461
2,500,2500,43,22,0.5,12,12,11,13,0.8461538461538461
2,500,2500,34,11,0.5,13,12,11,14,0.7857142857142857
2,500,2500,34,23,0.5,13,10,10,13,0.7692307692307693
2,500,2500,34,205,0.5,13,14,13,14,0.9285714285714286
2,500,2500,34,56,0.5,13,14,12,15,0.8
2,500,2500,34,32,0.5,13,12,11,14,0.7857142857142857
2,500,2500,34,22,0.5,13,12,11,14,0.7857142857142857
2,500,2500,11,23,0.5,12,10,10,12,0.8333333333333334
2,500,2500,11,205,0.5,12,14,11,15,0.7333333333333333
2,500,2500,11,56,0.5,12,14,11,15,0.7333333333333333
2,500,2500,11,32,0.5,12,12,11,13,0.8461538461538461
2,500,2500,11,22,0.5,12,12,11,13,0.8461538461538461
2,500,2500,23,205,0.5,10,14,10,14,0.7142857142857143
2,500,2500,23,56,0.5,10,14,10,14,0.7142857142857143
2,500,2500,23,32,0.5,10,12,10,12,0.8333333333333334
2,500,2500,23,22,0.5,10,12,10,12,0.8333333333333334
2,500,2500,205,56,0.5,14,14,13,15,0.8666666666666667
2,500,2500,205,32,0.5,14,12,11,15,0.7333333333333333
2,500,2500,205,22,0.5,14,12,11,15,0.7333333333333333
2,500,2500,56,32,0.5,14,12,12,14,0.8571428571428571
2,500,2500,56,22,0.5,14,12,11,15,0.7333333333333333
2,500,2500,32,22,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,81,100,0.5,11,12,11,12,0.9166666666666666
2,1000,2500,81,43,0.5,11,12,11,12,0.9166666666666666
2,1000,2500,81,34,0.5,11,14,11,14,0.7857142857142857
2,1000,2500,81,11,0.5,11,11,11,11,1.0
2,1000,2500,81,23,0.5,11,12,11,12,0.9166666666666666
2,1000,2500,81,205,0.5,11,13,11,13,0.8461538461538461
2,1000,2500,81,56,0.5,11,14,11,14,0.7857142857142857
2,1000,2500,81,32,0.5,11,13,11,13,0.8461538461538461
2,1000,2500,81,22,0.5,11,12,11,12,0.9166666666666666
2,1000,2500,100,43,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,100,34,0.5,12,14,12,14,0.8571428571428571
2,1000,2500,100,11,0.5,12,11,11,12,0.9166666666666666
2,1000,2500,100,23,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,100,205,0.5,12,13,12,13,0.9230769230769231
2,1000,2500,100,56,0.5,12,14,11,15,0.7333333333333333
2,1000,2500,100,32,0.5,12,13,11,14,0.7857142857142857
2,1000,2500,100,22,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,43,34,0.5,12,14,11,15,0.7333333333333333
2,1000,2500,43,11,0.5,12,11,11,12,0.9166666666666666
2,1000,2500,43,23,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,43,205,0.5,12,13,11,14,0.7857142857142857
2,1000,2500,43,56,0.5,12,14,12,14,0.8571428571428571
2,1000,2500,43,32,0.5,12,13,12,13,0.9230769230769231
2,1000,2500,43,22,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,34,11,0.5,14,11,11,14,0.7857142857142857
2,1000,2500,34,23,0.5,14,12,11,15,0.7333333333333333
2,1000,2500,34,205,0.5,14,13,13,14,0.9285714285714286
2,1000,2500,34,56,0.5,14,14,12,16,0.75
2,1000,2500,34,32,0.5,14,13,12,15,0.8
2,1000,2500,34,22,0.5,14,12,11,15,0.7333333333333333
2,1000,2500,11,23,0.5,11,12,11,12,0.9166666666666666
2,1000,2500,11,205,0.5,11,13,11,13,0.8461538461538461
2,1000,2500,11,56,0.5,11,14,11,14,0.7857142857142857
2,1000,2500,11,32,0.5,11,13,11,13,0.8461538461538461
2,1000,2500,11,22,0.5,11,12,11,12,0.9166666666666666
2,1000,2500,23,205,0.5,12,13,11,14,0.7857142857142857
2,1000,2500,23,56,0.5,12,14,12,14,0.8571428571428571
2,1000,2500,23,32,0.5,12,13,11,14,0.7857142857142857
2,1000,2500,23,22,0.5,12,12,11,13,0.8461538461538461
2,1000,2500,205,56,0.5,13,14,11,16,0.6875
2,1000,2500,205,32,0.5,13,13,11,15,0.7333333333333333
2,1000,2500,205,22,0.5,13,12,11,14,0.7857142857142857
2,1000,2500,56,32,0.5,14,13,13,14,0.9285714285714286
2,1000,2500,56,22,0.5,14,12,11,15,0.7333333333333333
2,1000,2500,32,22,0.5,13,12,11,14,0.7857142857142857
