scenario,n_burn_in,n_post_burn_in,seed_1,seed_2,selection_threshold,n_selected_1,n_selected_2,n_shared,n_union,jaccard
4,2000,4000,81,205,0.5,36,35,31,40,0.775
4,2000,4000,81,23,0.5,36,34,33,37,0.8918918918918919
4,2000,4000,81,11,0.5,36,37,35,38,0.9210526315789473
4,2000,4000,43,34,0.5,38,36,34,40,0.85
4,2000,4000,43,205,0.5,38,35,33,40,0.825
4,2000,4000,43,23,0.5,38,34,33,39,0.8461538461538461
4,2000,4000,43,11,0.5,38,37,35,40,0.875
4,2000,4000,34,205,0.5,36,35,31,40,0.775
4,2000,4000,34,23,0.5,36,34,33,37,0.8918918918918919
4,2000,4000,34,11,0.5,36,37,34,39,0.8717948717948718
4,2000,4000,205,23,0.5,35,34,31,38,0.8157894736842105
4,2000,4000,205,11,0.5,35,37,32,40,0.8
4,2000,4000,23,11,0.5,34,37,33,38,0.868421052631579
4,2000,4000,56,32,0.5,37,37,35,39,0.8974358974358975
4,2000,4000,56,100,0.5,37,38,35,40,0.875
4,2000,4000,56,22,0.5,37,36,34,39,0.8717948717948718
4,2000,4000,56,81,0.5,37,36,33,40,0.825
4,2000,4000,56,43,0.5,37,38,35,40,0.875
4,2000,4000,56,34,0.5,37,36,34,39,0.8717948717948718
4,2000,4000,56,205,0.5,37,35,34,38,0.8947368421052632
4,2000,4000,56,23,0.5,37,34,32,39,0.8205128205128205
4,2000,4000,56,11,0.5,37,37,34,40,0.85
4,2000,4000,32,100,0.5,37,38,34,41,0.8292682926829268
4,2000,4000,32,22,0.5,37,36,35,38,0.9210526315789473
4,2000,4000,32,81,0.5,37,36,34,39,0.8717948717948718
4,2000,4000,32,43,0.5,37,38,34,41,0.8292682926829268
4,2000,4000,32,34,0.5,37,36,35,38,0.9210526315789473
4,2000,4000,32,205,0.5,37,35,32,40,0.8
4,2000,4000,32,23,0.5,37,34,33,38,0.868421052631579
4,2000,4000,32,11,0.5,37,37,35,39,0.8974358974358975
4,2000,4000,100,22,0.5,38,36,35,39,0.8974358974358975
4,2000,4000,100,81,0.5,38,36,35,39,0.8974358974358975
4,2000,4000,100,43,0.5,38,38,37,39,0.9487179487179487
4,2000,4000,100,34,0.5,38,36,34,40,0.85
4,2000,4000,100,205,0.5,38,35,33,40,0.825
4,2000,4000,100,23,0.5,38,34,33,39,0.8461538461538461
4,2000,4000,100,11,0.5,38,37,35,40,0.875
4,2000,4000,22,81,0.5,36,36,35,37,0.9459459459459459
4,2000,4000,22,43,0.5,36,38,35,39,0.8974358974358975
4,2000,4000,22,34,0.5,36,36,34,38,0.8947368421052632
4,2000,4000,22,205,0.5,36,35,32,39,0.8205128205128205
4,2000,4000,22,23,0.5,36,34,33,37,0.8918918918918919
4,2000,4000,22,11,0.5,36,37,36,37,0.972972972972973
4,2000,4000,81,43,0.5,36,38,35,39,0.8974358974358975
4,2000,4000,81,34,0.5,36,36,34,38,0.8947368421052632
4,2000,4000,81,205,0.5,36,35,31,40,0.775
4,2000,4000,81,23,0.5,36,34,33,37,0.8918918918918919
4,2000,4000,81,11,0.5,36,37,35,38,0.9210526315789473
4,2000,4000,43,34,0.5,38,36,34,40,0.85
4,2000,4000,43,205,0.5,38,35,33,40,0.825
4,2000,4000,43,23,0.5,38,34,33,39,0.8461538461538461
4,2000,4000,43,11,0.5,38,37,35,40,0.875
4,2000,4000,34,205,0.5,36,35,31,40,0.775
4,2000,4000,34,23,0.5,36,34,33,37,0.8918918918918919
4,2000,4000,34,11,0.5,36,37,34,39,0.8717948717948718
4,2000,4000,205,23,0.5,35,34,31,38,0.8157894736842105
4,2000,4000,205,11,0.5,35,37,32,40,0.8
4,2000,4000,23,11,0.5,34,37,33,38,0.868421052631579
